Name,Brand,Country_State,Region,Appellation,Wine_Type,Varietal,Style,ABV,Taste_Notes,Body,SKU,Size,Price,Mix_6_Price,Customer_Rating,Customer_Reviews,Expert_Rating,URL,Image_URL,Product_Highlights
"Old Winery Road Cabernet Sauvignon Napa Sonoma, 2022","Old Winery Road","California","Napa Valley","Napa Sonoma","Red Wine","Cabernet Sauvignon","Intense","14.5%","Raspberry, Dark Fruit","Full-bodied","235847750-1","750ml","$34.99","$31.49","4.5/5","75","94 • Beverage Dynamics","https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/old-winery-road-cabernet-sauvignon-napa-sonoma/p/235847750","https://www.totalwine.com/images/235847750/235847750-1-fr.png","Beverage Dynamics-California - Napa Valley - Grapes from both Napa and Sonoma Counties were used by the winemakers at Buena Vista to showcase a seamless 50/50 blend. Hints of cedar spice with blueberry, blackberry, and black currant notes on the palate. Fruit forward, rich and well-integrated."
"Samuel Robert Pinot Noir Willamette Vineyard Reserve, 2023","Samuel Robert Winery","Oregon","Willamette Valley","Willamette Valley","Red Wine","Pinot Noir","Fresh","13.5%","Red Fruit, Cinnamon, Nutmeg","Medium-bodied","181110750-1","750ml","$17.99","$16.19","4.3/5","1422","89 • Wine Enthusiast","https://www.totalwine.com/wine/red-wine/pinot-noir/samuel-robert-pinot-noir-willamette-vineyard-reserve/p/181110750","https://www.totalwine.com/images/181110750/181110750-1-fr.png","Wine Enthusiast-Oregon-Willamette Valley-A rich aromatic power trio of dates, figs and aged balsamic is accented by spicy bits of cinnamon, clove and coriander. The wine's flavor profile is similar, as dark plums are joined by orange zest and chai tea spices. Fine, grainy tannins hold it al together."
"Cruz Alta Malbec Reserve by Rutini Wines","Cruz Alta","Argentina","Mendoza","Mendoza","Red Wine","Malbec","Intense","13.5%","Black Fruit, Vanilla","Medium-bodied","1989750-1","750ml","$13.99","$12.59","4.4/5","615","No rating listed","https://www.totalwine.com/wine/red-wine/malbec/cruz-alta-malbec-reserve-by-rutini-wines/p/1989750","https://www.totalwine.com/images/1989750/1989750-1-fr.png","Mendoza, Argentina- This 100% Malbec is sourced from three iconic high altitude vineyards in the famed region of Mendoza. Revealing rich black fruit and red plum aromas, a spicy, structured palate and a long firm finish. Classic match with grilled meats."
"Angeline Pinot Noir California, 2022","Angeline","California","Sonoma County","Sonoma County","Red Wine","Pinot Noir","Fresh","13.5%","Strawberry, Raspberry","Medium-bodied","106559750-1","750ml","$9.99","$8.99","4.2/5","506","90 • James Suckling","https://www.totalwine.com/wine/red-wine/pinot-noir/angeline-pinot-noir-california/p/106559750","https://www.totalwine.com/images/106559750/106559750-1-fr.png","James Suckling-California - Sonoma County - Aromas of fresh baked strawberry pie and cherries follow through to a medium body with nice and bright red fruit and an easy finish. Remains fresh at the end. Drink now. Screw cap."
"Harvester Cabernet Sauvignon Paso Robles by Hope Family Wines","Harvester Wine","California","Central Coast","Paso Robles","Red Wine","Cabernet Sauvignon","Elegant","13.5%","Black Cherry, Violet","Full-bodied","134058750-1","750ml","$19.99","$17.99","4.3/5","919","90 • Beverage Dynamics","https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/harvester-cabernet-sauvignon-paso-robles-by-hope-family-wines/p/134058750","https://www.totalwine.com/images/134058750/134058750-1-fr.png","Beverage Dynamics-Paso Robles, Central Coast, CA- Full-bodied with inviting flavors of red berries, spice, and velvety tannins; a densely-packed Cabernet that is defined by its soft, luscious finish. Crafted by Austin Hope of Hope Family Wines."
"Chateau Lamothe Vincent Reserve Bordeaux, 2022","Chateau Lamothe Vincent","France","Bordeaux","Bordeaux/Bordeaux Superieur","Red Wine","Bordeaux Blend","Elegant","14.5%","Cassis, Currant, Red Fruit","Medium-bodied","2126222101-1","750ml","$12.99","$11.69","4.1/5","107","95 • Decanter","https://www.totalwine.com/wine/red-wine/bordeaux-blend/chateau-lamothe-vincent-reserve-bordeaux/p/2126222101","https://www.totalwine.com/images/2126222101/2126222101-1-fr.png","Decanter-France - Bordeaux - Bordeaux/Bordeaux Superieur - Decanter World Wine Awards: An alluring splendour of smoky oak and lip-smacking blackberry pie which nicely entangles with the swaddling tannins, polished acidity and impeccably smooth texture. Long and delicious."
"Renieri Invetro Super Tuscan, 2021","Renieri","Italy","Tuscany","Tuscany","Red Wine","Red Blend","Elegant","14%","Cherry, Plum","Medium-bodied","113710750-1","750ml","$17.99","$16.19","4.0/5","909","92 • James Suckling","https://www.totalwine.com/wine/red-wine/red-blend/renieri-invetro-super-tuscan/p/113710750","https://www.totalwine.com/images/113710750/113710750-1-fr.png","James Suckling-Italy - Tuscany - A crunchy wine with blackberry and black truffle character, a medium body, juicy tannins and a flavorful finish. Balanced fruit. From organically grown grapes. 50% sangiovese, 25% merlot and 25% cabernet sauvignon. Fun and delicious now."
"Mascota Vineyards Unanime Cabernet, 2020","Mascota Vineyards","Argentina","Mendoza","Mendoza","Red Wine","Cabernet Sauvignon","Elegant","14.5%","Blackberry, Chocolate","Full-bodied","130007750-1","750ml","$21.99","$19.79","4.3/5","1315","93 • James Suckling","https://www.totalwine.com/wine/red-wine/cabernet-sauvignon/mascota-vineyards-unanime-cabernet/p/130007750","https://www.totalwine.com/images/130007750/130007750-1-fr.png","James Suckling-Argentina - Mendoza - A pretty ripe nose with some baked plums, cherries and hints of sweet spices and white pepper. Pretty plush and juicy on the medium-bodied palate with a very tight and tense finish. Fine-grained and long."
"Oak Ridge Zinfandel Ancient Vine Estate Grown Lodi, 2022","Oak Ridge Winery","California","Lodi","Lodi","Red Wine","Zinfandel","Intense","14.5%","Blackberry, Cherry","Medium-bodied","36258750-1","750ml","$16.99","$15.29","4.4/5","880","91 • Wine Enthusiast","https://www.totalwine.com/wine/red-wine/zinfandel/oak-ridge-zinfandel-ancient-vine-estate-grown-lodi/p/36258750","https://www.totalwine.com/images/36258750/36258750-1-fr.png","Wine Enthusiast-California - Lodi - highlights a mixture of buoyant and concentrated red plum, boysenberry, cracked black peppercorn and toasty oak. Flavors dance across the palate, offering baked raspberry-blueberry pie, star anise, cardamom and candied lemon zest on the finish..."
"Asua Rioja Crianza, 2021","Asua","Spain","Rioja","Rioja","Red Wine","Tempranillo","Intense","13.5%","Black Fruit, Wood, Spice","Medium-bodied","220508750-1","750ml","$19.99","$17.99","4.1/5","169","91 • Vinous","https://www.totalwine.com/wine/red-wine/tempranillo/asua-rioja-crianza/p/220508750","https://www.totalwine.com/images/220508750/220508750-1-fr.png","Vinous-Rioja, Spain - aged for 14 months in French oak barrels. Purple in hue, its fairly reductive aromas feature blackberry and plums atop an oaky layer. Dry and almost infusion-like on the palate, supple tannins and a juicy flow convey a long-lasting, pleasant finish."
